abciximab;acyclovir;alteplase;amiodarone;amlodipine;amoxicillin;ampicillin;angiotensin II;argatroban;aspirin;atorvastatin;atracurium;azithromycin;bisacodyl;bivalirudin;bumetanide;captopril;carvedilol;cefazolin;cefepime;ceftazidime;ceftriaxone;ciprofloxacin;cisatracurium;clindamycin;clonazepam;clonidine;desmopressin;dexamethasone;dexmedetomidine;diltiazem;diphenhydramine;dobutamine;dopamine;enoximone;epinephrine;epoprostenol;eptifibatide;erythromycin;esmolol;felodipine;fentanyl;fluconazole;flumazenil;furosemide;gentamicin;glycopyrronium;haloperidol;heparin;hydrocodone;hydromorphone;hypromellose;ketamine;ketorolac;lansoprazole;lepirudin;levetiracetam;levofloxacin;lidocaine;linezolid;lorazepam;meropenem;methadone;methylprednisolone;metoclopramide;metronidazole;micafungin;midazolam;milrinone;mirtazapine;morphine;neostigmine;nesiritide;nicardipine;nimodipine;nitroglycerin;nitroprusside;norepinephrine;octreotide;pancuronium;pentobarbital;phenylephrine;phenytoin;piperacillin;procainamide;propofol;ranitidine;rocuronium;simvastatin;spironolactone;succinylcholine;sufentanil;sulfamethoxazole;thiopental;tirofiban;tramadol;tranexamic acid;treprostinil;triamterene;vancomycin;vasopressin (USP);vecuronium;warfarin;xylometazoline
;Actidas;;AMIODARONE CRISTERS;AMLODA;AUGME;Ampicillin Und Sulbactam Ibisqus;;Argatra;Azdone;RADUET;ATRA;Zeqi;Boxogetten;;Baichang;Jucapt;Carvedilol Aurus;Cefazolin Mip;CEFEPIME GERDA;CEFTAZIDIME TEVA;CERIXON;Jiake;Cisatracurium Ratiopharm;Longkeduo;Phl-Clonazepam;Catapres;Desmopressin Teva;De-Sone LA;;Hemarekeat;Benadryl;Dobutamin Hameln;INOPAN MYUNG MOON;;Zorcaine;;;E.S.P.;;FELODIPINE BINEX;Fentanyl Am;Prodif;LUZENIL;Furosemid Hameln;Dermosol;Prevduo;Ratio-Haloperidol;Prothromplex S;Hy-KXP;Palladone SR;Artelac;HUONS KETAMINE HCL;Toradol;Dakar;;Mingsheng;Duoqing;ANESTAR;Linezolid Farmaprojects;Apo-Lorazepam;OMNIPENEM;Methaliq;Youjin;Metoclopramid Al;Kreucosan;;Nayzilam;Corotrop;REMIXIL;Shinikang;Neostigmin-Rotexmedica;;Peier;Haimenghui;Rectiv;;NORADRENALINE JAYTECH;Yipuning;;ENTOBAR;Extendryl G;Euthasol;Piperacillin Ratiopharm;Stenocardin;Propofol Hexal;REBAVIS;Rocuroniumbromid Pfizer;Lipozart;Spironolacton Accedo;SUCCICHOLINE;Sufenta Epidural;Shulanxin;;;LITE ULTRA SEMI;Kaweian;;Duradiuret;VANCOMYCINE MIP;;;Narfarin;Medicon
;Aiweida;;AMIODARONE MYLAN;AMLOST;AUGMEN DUO;Amblosin;;;Bufferin;Caduet;ACULEX;Yarui;Bisacodyl Aiwa;;Xindi;CAPRIL;CARVELIX;CEFAMEZIN;CEFEPIME MYLAN;FORTUMSET;DAEHWA CEFTRIAXONE;Xifuhuan;CISATRACURIUM KABI;Jieli;Phl-Clonazepam-R;Combipres;Desmogalen;Decadron with Xylocaine;;Optil;Antihist;DOBURAN;UDOPA;;Twinject;;;Ab Erythromycin;;KEYDIPIN;Fentanyl Ct;Yilikang;FLUNIL;Fumarenid;Rinderon;Glyrx;Nu-Haloperidol;Thrombo Enelbin;Relacon-HC;Naruvein;Xinleiran;Ketamin Inresa;KETRO;Lansoprazol Actavis;;Boling;Suluo;ANGELCAIN;Linezolid Glenmark;Pro-Lorazepam;MEROPENEM KABI;Misyo;Depo-Medrol + Lidocaine;Mcp Axcount;Metrobac;;Hypnovel;Milrinon Carino;YUNGJIN MIRTAZAPINE;Meifeikang;Neostigmine Omega;;BINICAPIN;Nimodipin Hexal;Adenovasin;;Q-PHRINE;OCTSTATIN;;Nova Rectal;Preparation H Cooling Gel;Citrullamon;Piperacillin Tazobactam Stragen;;Propofusor;RUBISDI;Rocuronium Bromide Sanodoz;Saifuding;Verospiron;SUXAMETHONIUM BIOCODEX;Sufentanil Medipha Sante;Feilude;;;MULTICET SEMI;EXACYL;;Riva-Zide;VANCOMYCINE MYLAN;;;WARFARIN DAEHWA;Nasenen Al
;Jiminweixin;;AMIODARONE ZENTIVA;AMNOPEN;AUGMENTO NEO;Lumota;;;Buffex;ATORVASTATINE PFIZER;Atracurium Crm;Shumeite;Bisacodyl Fair Med;;Changze;CAPTOPRIL CRISTERS;CARVEOL;YUHAN CEFAZOLINE;CEFEPIME PANPHARMA;Ceftazidim Hexal;ILSUNG CEFTRIAXONE;Qiulu;CISATRACURIUM MYLAN;Zhifubao;Nu-Clonazepam;Catapres-TTS-1;Desmospray;Dexacort-LA;;Matzim;Beldin;DOBUTAMIN HCI MYUNGMOON;TROPIN;;Scandonest 2% Special;;;Aknemago;;HALOPIN;Fentanyl Fz;Wenqing;NEWZENIL;Furo Basf;Aoqing;MYUNGMOON MOBINUL;Haldol;Venofuc;Efasin-HD;Ruining;Beiran;Ketamin Rotexmedica;TARASYN;LANPRA;;Kepmini;Dafentaixing;EMTUKAIN;Linezolid Hetero;Lelaan;Meropenem Dr. Eberth;Physeptone;Metycortin;Mcp Ct;Metronid Puren;;Buccolam;;MIRTAZAPINE RATIOPHARM;Morcap SR;Pms-Neostigmine Methylsulfate;;Radistmin;Yifuzheng;Alphavirgin;;NOREPIRIN;SIROCTID;;Novo-Pentobarb;Qual-Tussin DC;Cusitan;Piperacillin Tazobactam Teva;;AQUAFOL;SBRD;Zemuron;Kadike;SPIRACTON;Pantolax-Actavis;SUFENTANIL PANPHARMA;Bactoreduct;;;MYTICET SEMI;Zamic;;Pro-Triazide;VANCOMYCINE SANDOZ;;;Mylan-Warfarin;Nasenen K Hex
;Hegu;;Cardinorm;ANYTENTION;AUGMEX DUO FORTE;SYNERTAM;;;Fiorinal with Codeine;Trinomia;;Weilude;Dialax;;;CAPTOPRIL EG;KARTER;Cefazolin Hospira;Cefepim Mip;FORTUM MONO;LG CEFTRIAXONE SODIUM;Baycip;CISATRACURIUM SANDOZ;Clindamycine EG;Teva-Clonazepam;Nexiclon;DESONYX;Neo-Dex;;Adizem-SR;Belix;DOBUTAMINE HCI PREMIX;DOPAMINE AGUETTANT;;Septanest;;;Aknefug;;HUNIZ FELODIPINE;FENTANYL CITRATE GUJU;Hongxuguang;LUMAXATE;Oedemase;GentaVed;Ultibro Breezhaler;Buteridol;Varico Sanol;Med-Hist-HC;Hydrostat;Augverz;Ketamin-Actavis;SAMSUNG KETOROLAC TROMETHAMIN;LANSATON;;Levetiracetam 1a Pharma;Laimeixing;FD CAINE;Linezolid Rotexmedica;Lorazetop;Meropenem Eberth;Eptadone;J-SOLONE;Mcp Lyssia;Metronidazol Rapid;;Liyuexi;;MIRTAZAPINE ZENTIVA;Dropizol;Prevduo;;Isedipeal;Entong;Baldronit;;Scandicain;OCTREOTIDE ARROW;;Somnasol;Re All 12;PHENYTOIN BUKWANG;TAZO V;;Diprivan;WIBICS;Esmeron;Xinke;SPIRONOLACTONE ACTAVIS;;Sufenta;Bactr;;;PARACET SEMI;Menstralite;;Penta-Triamterene Hctz;Vycin;;;Apo-Warfarin;Nasenspray Hemopharm
;Youkang;;Amiodaron Hcl Stragen;ARI DUO;AUGMOX;AMBACTAM;;;Fiormor;Totalip;;Puleqi;Lax Makol Mono;;;CAPTOPRIL QUALIMED;CARDIREN;Cefodinin;Bindozef;Tazicef;PORIXONE;Ciprofloxacin Accedo;Cisatracurium Pharmathen;ClindaRobe;Klonopin;Clonidin Ratiopharm;NEWLITAN;Poly-Dex;;Diltiazem Basics;Dermarest Anti-Itch;DOBUTAMINE HCL HUONS;MYUNGMOON INOPAN;;Lignospan Special;;;Clinesfar;;HYPER;DUROGESIC D-TRANS;Libangtaining;FLUMAZENIL KABI;Spiro D;Dexagent Ophtal;Ultibro;Duraperidol;Vetren;Amtussin;Hydromorphon Awd;Teardew;Zetamine;KETORAC;LANSOZOLE;;Levetiracetam Acis;Anfanzheng;LIDO A PLUS;Apo-Linezolid;Duralozam;Meropenem Regiomedica;Methasan;MEDNIRONE;Mcp Ratiopharm;Metronidazol Ratiopharm;;Midaselect;;NORSET;M Dolor;Prostigmin Bromide;;Nisutadil;Younixin;Hypercoran;;Hostacain;Octreotid Gp-Pharm;;Euthaphen;Tusso-XR;SAMJIN PHENYTOIN SODIUM;ACOPEX;;Depulima;WITO D;Rocuroniumbromid Bme;Bozhantong;SPIRONOLACTONE ALTIZIDE E;;Sufentan;Cotrim 1a Pharma;;;PEINTRA;Transabon;;Dyta-urese;Vancomycin Dr. Eberth;;;Warfilone;Nasenspray Ipa
;Aciclovir 1a Pharma;;Amiodaron Winthrop;ATODIA;AUGSULTAM;BACTACIN;;;Major-Cin;Atorbem;;Paiqi;Laxagetten Ct;;;CAPTOPRIL SANDOZ;CAVEDIL;Elzogram;Yuekangkaixin;Kangmaixin;CEFARIN;Ciprofloxacin Ibisqus;Cisatracurium Omega;Clinsol;Klonopin Wafer;Dimapres;DESPRIN;Tobradex;;Diltiazem Eu Rho;Diphenadryl;TOBUREX;Tsurudopami;;Rexocaine;;;Clinofug;;ZIRODIPINE;FENTANYL HANLIM;Shuangweiduqing;FLUMAZENIL MYLAN;Spiro Pa;Duragentam;Qbrexza;Haloneural;BM HEPARIN SODIUM;Anolor DH5;Hydromorphon Hcl Acino;Teargen II;Ketaset;Omidria;DAPURA;;Levetiracetam Biomo;Weifuduo;PRICAIN;Zyvox;Lorazepam Heumann;Meropenem Stada;Biodone Forte;METHYLSOLON;MAXOZYME;Metronidazol Sandoz;;Midazolam Dts;;Milivin Od;Morph 1a Pharma;Neostigmin Hameln;;Zainingping;Nimotong;Ho Len Oto Cyl;;Neo Lidocaton;Octreotid Sun;;Pentobarsol;Tylenol Cold Multi-Symptom Nighttime;Zentropil;Pipertaz;;Klimofol;ZAVIS;KABI ROCURONIUM;Zhengzhi;SPIRONOLACTONE BIOGARAN;;Sufentanil Ratiopharm;Cotrim Holsten;;;PHENACET;Ranobis;;Dyrenium;Vancomycin Hospira;;;;Nasenspray Purratiopharm
;Aciclovir Ct;;Amiodaronhydrochlorid Hexal;ATORSAN PLUS;BICRA NEO;UBACILLIN;;;Med Aspirin;Atorvastatin Actav;;Shengnuoling;Laxinetten;;;CAPTOPRIL/HYDROCHLOROTHIAZIDE CRISTERS;AHNGOOK CARVEDILOL;CKD CEFAZOLINE;Kangliwopu;Daining;CEFTAXONE;Ciprofloxacin Noridem;Nimbex Forte;ClindaCure;Ceberclon;Dom-Clonidine;MINIMOPRESSIN;Minims dexamethasone;;Diltiazem Temmler;Diphendryl;DOBUTAMINE MYLAN;Asikeding;;Emerade;;;E M Gel;;Felodur;FENTANYL EG;Fluconazol Apotex;Flumazenil Claris;Spiro Tk;Gentamicin Pos;Breztri;Haloperidol 1a Pharma;Heparinised Saline Pfizer;Azdone;Palladone M;Tears Naturale;Ketamin Hameln;KETLUR;LANSIZOL;;Levetiracetam Bristol Lab;Zhuangyuan;YOUPATCH;LINEZOLIDE MYLAN PHARMA;Lorazep Ct;COSPENEM;Diskets;PRENA;CHLORHYDRATE DE METOCLOPRAMIDE RICHARD;Metront;;MIZOLAM;;Mirtazon;Morph Sandoz;Syncarpin;;Rydene;Erping;Homviocorin Spezial;;NORPIN;Xinganyi;;Ravona;Zotex-12;Taro-Phenytoin;Tazopip;;BBRAUN PROPOFOL LIPURO;ZENBIS;CURONI;Denan;SPIRONOLACTONE PFIZER;;Sufentanil Hexal;Cotrim Riker;;;PHENACET SEMI;Hemosai;;Dyazide;Sterile Vancomycin Hcl;;;;Nasenspray Sandoz
;Antiherpes;;Cordarex;ATOSTAR PLUS;CLABULO DUO;AMOXICILLINE RATIOPHARM;;;Minitabs;Lipercosyl;;Saijinsha;Milkitten;;;CAPTOPRIL/HYDROCHLOROTHIAZIDE E;CADILAN;CEFAZOLINE MYLAN;Lingdi;Xintianxin;CETRISON;Ciprofloxacin Uropharm;Cisatracurium Hexal;Ab Clindamycin;Paxam;Clorpres;MINIRINMELT;DM Solone;;Diltiazem Up;Dytuss;Dobutrexmylan;Dopamin Premix;;Xylotox;;;Ery Hameln;;Fendex;FENTANYL LAVIPHARM HELLAS;Fluconazol Dts;Flumazenil Sdz;Terbolan;Gentamycin M2p;Trimbow;Haloperidol Neurax;Contractubex;Ceta Plus;Palladone Up;Lacri Vision;Ketamin Ratiopharm;KETOTAMINE;LANSOQ;;Levetiracetam Neuraxpharm;Dening;Instillagel;LINEZOLIDE OHRE PHARMA;Tolid;MECAPENEM;Synastone;SELOND;PROKINYL L;BI MISSILOR;;MIDAZOLAM MYLAN;;Mirtalich;Morphin Awd;Bloxiverz;;Antagonil;Maiteling;Maycor;;Arterenol;Litexin;;Pentasol;Duratuss AC 12;Somnasol;Piperacillin Hikma;;ANEPOL;Raciran;PFIZER ROCURONIUER;Simvastatin Volkspharma;SPIRONOLACTONE RATIOPHARM;;;Jenamoxazol;;;SERIKIN SEMI;Beiruining;;Triam-Co;Firvanq;;;;Nasenspray Teva
;Virax Puren;;Amiodarone Omega;CESMUTAN;CLACILLIN DUO;Alphacin;;;Levacet;ATODIPIN;;Younike;Nedalax;;;Zedace;CADIRON;CEFAZOLINE PANPHARMA;Cefepime Sandoz;Fortum;WOORIDUL CEFTRIAXONE SODIUM;Ciprogamma;;Clinda Hameln;Pro-Clonazepam;Duraclon;Adin;Teikason;;Diltabeta;Excedrin PM;Dobupum;DOPAMINE HCI HUONS;;Bilan CN;;;Ery Toxinal;;Felodipin Al;Fentavera;Fluconazol Lindopharm;Jamp-Flumazenil;LASILIX;Gentamytrex;Tovanor Breezhaler;Haloperidol Rph;Hepa-Gel;Chemdal HD;Jurnista;Opti Tears;Ketaject;KETROMIN;MONOLITUM FLAS;;KEPIRAM;Lizhuqiangpai;Octocaine;Siwo;LORAVAN;BORYUNG MEROPENEM;Methapain;MSOLON;Anagraine;BIRODOGYL;;Midazolam Hexal;;Mirtazapin Aaa-Pharma;Morphin Neuraxpharm;Neostig;;DONGKOO NICARDIPINE HCL;Baoyitian;Nitriderm Tts Eup;;;Lierning;;Dolomo;4-Way;Euthaphen;Piperacillin Ibisqus;;POFOL;Ranzac;Eslax;Simva Atid;SPIRONOLACTONE ZENTIVA;;;Nymix Amid;;;STARICET SEMI;Lidafei;;Triteren;Wenkexin;;;;Nasenspray Wepa
;DAEHWA ACYCLOVIR;;Riva Amiodarone;COSCA EX;CLAMENTIN DUO;Ampicyn;;;Norgesic;ATORIX;;Yisong;PREPACOL;;;Ace-Hemmer-Ratiopharm;VASOTROL;Cefazolin Normon;Cefepim Rotexmedica;Ceftazidim Stragen;TRIAXONE;Ciprofat;;Clinda Lichtenstein;Pms-Clonazepam;Catapres Perlonget;Nictur;Promethasone;;Diltapham;Legatrin PM;Fenghaifen;DOPURAMIN;;Adrenaclick;;;Erydermec;;FELLE;Fenta Regiomedica Matrix;FLOCAN;Anexate;LOGIRENE;Infectoflam;Xoterna Breezhaler Kohlpharma;Ulcolind;Nervpin;Chemtussin HC;Hydromorphon Hexal;Rhinoton;MOTORIN;TAGASIN;LANSOPRAZOLE CRISTERS;;LEVIROTIN;Qingkang;Mercuroclear;Linezolid Amnea;LORAZEPAM BIOGARAN;MEROPEN YUHAN;Metadol;MAEPRON;Cerucal;METRONIDAZOLE BAXTER;;Midazolam Orpha;;Mirtazapin Aurobindo;ACTISKENAN;Prostigmin;;Nicodel;Nilisu;Nitro Corangin;;;Olatuton;;Medinox;Norel DM;Pentran;Piperacillin-Dura;;PROPOFOL MYLAN;Vivatak Indigestion Relief;Aikesong;Simva Dexcel;Spironolacton Hexal;;;Uro Sigaprim;;;TRACETA SEMI;Ugurol;;Diuteren;Fangkelin;;;;Otricorten
;BACRAX;;Phl-Amiodarone;DIVASTIN;CLAMENTINE;Austrapen;;;PC-CAP;ADOR;;Jinbo;Agaroletten;;;Captopril Atid;CARVEDILOL EG;Cefazoline Sandoz;NEWSEPIM;CEFTAZIME;TRICEFAXONE;Utiminx;;Clinda Saar;Accel-Clonazepam;Aruclonin;Nocturin;Solcort;;Diltaretard;Nervine;Dobutamin Hexal;DOPAMINE RENAUDIN;;Xylocaine with Adrenaline;;;Erythro Ct;;FELODIC;Fentanyl - 1 A Pharma;DAEWOONG PLUNAZOLE;MYUNGMOON FLUMAZENIL;FUROSEMIDE KABI;Nichogencin;XOTERNA;Vesalium;Trauma Puren Gel;Co-Tuss V Expectorant;Hydromorphonhydrochlorid Beta;Sic Ophtal;Ketalar;Taradyl;LANSOPRAZOLE EVOLUGEN;;KEPREPTOL;Yilumei;LidoPen;Linezolid Denk;Lorazepam Dura;CELLPENEM;;MEDISOLONE;Gastronerton;ROZAGEL;;Midazolam Bp;;Mirtazapin Puren;MOSCONTIN;Lubrirhin;;Xianli;Beiqing;Nitro Gesanit;;;Bendatreotid;;Praecicalm;Broncopectol Syrup;Epanutin;TAZOPICIN;;Provive;Dongyi;ROCUNIUM;Simvastatin 1a Pharma;Spironolacton 50 Heumann;;;Cotrim Fair-Med Healthcare;;;TRAMACONTI;SHINPOONG TRANEXAMIC ACID;;Daan;Vamysin;;;;Rhinex
;CLOVIR;;Pms-Amiodarone;DUALAMY;CRABACTAM;Ampicillin Mylan;;;Q-Acin;AITATIN;;Xindakang;Bisacodyl Zentiva;;;Dom-Captopril;CARVEDILOL TEVA;Basocef;BORYUNG MAXIPIME;UNICEFA;UNITIAXONE;CF;;Clindalind;Dom-Clonazepam;Dispaclonidin;Demovo;Chondron Dexa;;Dilti Essex;Sleepinal;Dobutamin Liquid Fresenius;Dopamin Carino;;Adrenalin Ims;;;Erythromycin Al;;HIFEL;Fentanyl Heumann;DIPAZOLE;ANSEDATIVE;FUROSEMIDE LAVOISIER;Ophtagram;Lonhala;PERIDOL;Venoruton Emulgel;Cytuss HC;Hydromorphonhydrochlorid-Ct;Sicca Stulln;Ketaflo;Sprix;LANSOPRAZOLE MYLAN;;LETIRAM;Yipin;Akten;LINEZOLIN;Pms-Lorazepam;GENPENEM;;MEPNA;Gastrosil;SPIRAMYCINE METRONIDAZOLE MYLAN;;Midalim;;Dom-Mirtazapine;SKENAN L;Neoeserin;;Xinshulida;Nimodipin Isis;Nitro Rorer;;;Peixin;;Priatan;Alka-Seltzer Plus Cold and Cough Reformulated Mar 2007;Phenytek;Pentcillin;;Disoprivan;Jinweihe;Rocuronium Inresa;Simvastatin Accedo;Ntp-Spironolactone;;;Cotrimhexal Forte;;;WONTRASET SEMI;TREMIN;;Am Triamteren;Vanco Cell;;;;Stas Nase
;DAEWON ACYCLOVIR;;Ntp-Amiodarone;DUALFORGE;DUCRA;Pro Ampi;;;Rhinocaps;AMLODUET;;Zaiqi;Bodyguard Abfuehr-Tabletten;;;Penta-Captopril;Vedilol;Saarzolin;Cefepim Dotopharma;DAEWOONG CEFTAZIDIME;KYONGBO CEFTRIAXONE SODIUM;CIPOXACIN;;Clindamycin Billix;Clonapam;Haemiton;DESMOPRECINAMEDE;Fuyisong;;Dilti Wolff;Tylenol PM;Kanglituo;Dopamin Fresenius;;Anaesthol;;;Karex Wolff;;LOWPERIN;Co Fentanyl;FLUCAZOL;FLUMAZENIL WINTHROP;FUROSEMIDE RANBAXY;Septocoll E;Robinul;Haldol-Janssen;Heparin Leo;Deconamine CX;Pms Hydromorphone;Systane Overnight Therapy;Ketanest S;Toratex;LANSOPRAZOLE RANBAXY;;LEVIRA;Deerfuxing;Anestacon;MYCOVOX;Teva-Lorazepam;MEBAPENEM;;SOMERON;Mcp Stada;SPIRAMYCINE METRONIDAZOLE ZENTIVA;;Versed;;Jamp-Mirtazapine;Anamorph;NEOSTIGMINE RENAUDIN;;Danyi;SEREBONAL;Nitrodurat;;;Qiwen;;Seda Nitrolingual;Triaminic Chest & Nasal Congestion;Aleviatin;Pipeyuncin;;Propofol Claris;Shuwei;Rocuroniumbromid Kabi;Simvastatin Awd;Spironolacton Iun>;;;Cotrimoxazol Al;;;Ultracet;TRANSAMIN-S;;Calmoserpin;Vanco Ipr;;;;Therapin
;ERPECYVIR;;Cordarone;DUOWELL A;HUCLA;Rimacillin;;;Supac;AVASC;;Xinpurui;Dorolax Abfuehrtabletten;;;CAPOTEC;Carlich;Zolicef;CEFIMAX;CEFDYME;CEFTRIAXONE AGUETTANT;CIPROXACIN;;Clindamycin Holsten;Ratio-Clonazepam;Mirfat;ENURINE OD PUS;Zhongyimeisong;;BI TILDIEM;Uni-Hist;DOBUTAMINE AGUETTANT;Critpan;;Artinestol;;;Lubomycin;;Plendil;Innovar;NEOCONAL;Flumazenil B. Braun;Frusax;Smartset Ghv;Seebri;Pms-Haloperidol;Lok-Pak;Dicomal-DH;Teva-Hydromorphone;In A Wink;Ketamin;KETOLMINE;LANZOR;;LEVPIL;Qisiding;Bactine;ZYVOXID;Ativan;MEROEM;;TOPISOL;Migraene Neuridal;SPIRAMYCINE/METRONIDAZOLE E;;Dormicum;;Ratio-Mirtazapine;Junomorph;;;Afaduoxin;Nymalize;Nitrozell;;;Jindilin;;Norkotral Tema;Triaminic Night Time Cold & Cough;Diphantoine;Oridem;;Recofol;Keaosi;Rocuroniumbromid Ratiopharm;Simvastatin Biomo;Cardalis;;;Apo Sulfamethoxazole;;;Ryzolt;Cyklo-f Heavy Period Relief;;Diutensat;Vanco Ratiopharm;;;;Xylo Pos
;ZOYLEX;;Ancaron;EXPINE;LAMOCRA;Polycillin;;;Uni-Ann;BIPITO;;Lilixin;Laxbene;;;TOPID;Carvedilol 1a Pharma;Cephazolin Fresenius;Maxipime;DIMCEF;CEFTRIAXONE EG;CIROXACIN;;Clindatop;Pms-Clonazepam-R;Paracefan;MINI RESSIN;Younuoping;;DILTIAZEM CRISTERS;Benadryl Itch Stopping;Dobutamin-Ratiopharm;Evetant;;Brox;;;Praecimycin;;Lexxel;Duragesic;SCHNELL FLUCONAZOLE;Flumazenil Inresa;Frusehexal;Terracortril;Trixeo;Fortunan;Hep-Lock;Codimal DH;Dilaudid Cough;Genteal Gel;Ab Ketamin;KETORACIN;Zopral;;LEVICURE;Junxin;D-Caine;Linezolid Amneal;Wypax;MEROSIN;;NISOLON-M;Migralave + Mcp;SPIRAMYCINE/METRONIDAZOLE SANDOZ;;Epistatus;;Nu-Mirtazapine;Morphine Mr;;;NICARPIN;;Pheracor;;;Sandostatine Lar;;Beuthanasia;Triaminic Cold and Allergy Reformulated Mar 2007;Hydaticon;Piperacillin Tazobactam Hexal;;Pms-Propofol;Ruibei;ROCARON;Simvastatin Pharma;Carospir;;;Apo Sulfatrim Pediatric;;;Zeridame SR;Pletasmin;;Dehydro Sanol;Vanco Sandoz;;;;Aqua Maris Decongestant
;DONG-A ZOVIRAX;;Amiobeta;GADUE;LAMOTAM;Amficot;;;Uni-Buff;LIPILOR;;Naqi;Bisacodyl-Odan;;;Capozide;Carvedilol Al;Cefazolin Hexal;Shiruiping;ALFACEF;CEFTRIAXONE GNR;DAIHAN CIPROFLOXACIN;;Acnatac;Zym-Clonazepam;Tenso Timelets;MINIS;Jiaming;;DILTIAZEM TEVA;Valu-Dryl;Dobutamine Sdz;Inovan;;Bupivacain Ad;;;Togiren;;Keloc SR;PecFent;CANDINA;Flumazenil Pharmaselect;Jufurix;Easotic;Bevespi;Halosten;Hep-Pak;Ditussin-HC;Dilaudid;Tears Naturale Free;Velonarcon;TABEL;Lansoprazol Al;;LEVETIRACETAM AGUETTANT;Jingbituoxin;Decadron with Xylocaine;Linezolid Beta;Jiapule;POSPENEM;;PREDI;Nu-Metoclopramide;SPIRAMYCINE/METRONIDAZOLE TEVA;;Ozalin;;Mirtanza;Ordine;;;DONG-A PERDIPINE;;Retroplex;;;SANDOSTATINE L;;Pentosol;Dimetapp Cold Drops;MYUNGIN PHENYTOIN;TABAXIN;;Propovan;Acidine;ROMERON;ENPITORIN;Spiroctan;;;Protrin;;;Tilodol SR;Anvitoff;;Hydrotrix;Vancomycin Abt;;;;Brufasol
;AUSTIN ACYCLOVIR;;Amiodaron Hameln;HANBIKA;MOXICRA;Totacillin;;;Aggrenox;LIPITROL;;Qigumei;Fruitatives Ect;;;Capropril;Carvedilol Atid;Cefazolin Hikma;Xinliwei;ALVOGEN CEFTAZIDIME;CEFTRIAXONE QUALIMED;PHARMA CIPROFLOXACIN;;Calindamin;Sandoz Clonazepam;Catapresan;Presinex;Eythalm;;DILTIAZEM WINTHROP;Buckley's Bedtime Formula;;Dopamin Ratiopharm;;Bormelin;;;ERYTHROGEL;;Pinefeld XL;Victanyl;DIFLEX;;Furosemid Dura;ALVOGEN GENTAMICIN SULFATE;Glycate;Haliduo;Multiparin;Duradal HD Plus;Palladone;AddTear;KETAMINE PANPHARMA;KETOCIN;Apo-Lansoprazole;;LEVETIRACETAM BIOGARAN;Laifusi;L-Caine;Linezolid Eberth;Bonatranquan;ILSUNG MEROPENEM;;PRESOLONE;GASROBI;Metronide;;Midazolam Atv;;Reflex;Capros;;;NICARDIPINE ARROW;;Regulacor;;;OCTREOTIDE HOSPIRA;;Nembutal Sodium;Dimetapp DM Cold & Cough;PENITON;TAZOLACTAM;;PropoThesia;Azuranit;ROCNIUM;SIMVASTATIN DAEWOONG;Aldactone;;;CANPRIM;;;Invodol;SPOTOF;;Jenateren;Vancomycin Dts;;;;Axea Nasenspray
;CELLTRION ACYCLOVIR;;Tachydaron;HIGHDUET;MOXISULTAM;Picillibacta;;;Fiorinal;RETOSTIN;;Fuxin;Codulax;;;Captomex;Carvedilol Stada;;Laibixin;CEZIME;CEFTRIAXONE ZENTIVA;CIPROCELL;;Clindamycin Aristo;;Isoglaucon;Desmotabs;Afdosa;;Diltiazem Hydrochloride Cd;Pediacare Nighttime Cough;;Dopamin Solvay;;Glaucadrin;;;Erykanen;;Triapin;Mylafent;FUCONAZOLE;;Spironolacton 50 Heumann;ANTASONE;;Eukystol;Novo-Heparin;Enditussin-HD;Narurapid;Visine Pure Tears;Ketacine;Ketorolac-Trometamol-Brown;Q-Lansoprazole;;LEVETIRACETAM MYLAN;Quanying;Octocaine with Epinephrine;Linezolid Pfizer;Milinda;OROPENEM;;Methylprednisolut;MEXOLON;Metronidazol Fresenius;;Midazolam B. Braun;;Ruimeilong;Morphin Vier Ps Pharma;;;;;Regeneratio;;;Ocphyl;;Jurmun;Sudafed PE Cold & Cough;WHANIN HYDANTOIN;PIPERACILLINE/TAZOBACTAM HOSPIRA;;Ruikefu;Phamoranit;ROCURONIUM B BRAUN;SIVAS;Aldactazide;;;Azo Gantanol;;;Larapam;Tranexamsaeure Hexal;;Propra;Vancomycin Fresenius;;;;Docpelin Nasenspray
